precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIUCANU LILIANA-PARTIDUL SOCIAL DEMOCRAT-voturi","COROAMĂ DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","LALĂU TEODOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
29,NEAMŢ,"ŞCOALA GRIGORE UNGUREANU",226,CEAHLĂU,122025,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:03:02",1456,1381,0,17,58,896,840,0,17,39,876,20,1500,604,151,710,15
29,NEAMŢ,"ȘCOALA PRIMARĂ NR.1",227,CEAHLĂU,122025,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:32",607,600,1,3,3,355,349,0,3,3,339,6,700,355,83,247,9
