precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL OAMENILOR CREDINCIOȘI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
17,DOLJ,"CĂMINUL CULTURAL",276,BULZEŞTI,71340,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:27:15",601,575,0,4,22,395,369,0,4,22,356,16,639,190,29,223,69,6,29
17,DOLJ,"PUNCT INFORMARE, PRIMĂRIA BULZEŞTI",277,BULZEŞTI,71340,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:18:54",498,469,0,6,23,316,287,0,6,23,288,26,500,158,13,217,44,1,13
