precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL VERDE-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
32,"SATU MARE","PRIMARIA BOTIZ",154,BOTIZ,137185,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:08:52",1481,1475,2,0,4,636,632,0,0,4,614,22,1626,990,69,26,241,172,61,11,21,13
32,"SATU MARE","SCOALA GIMNAZIALA CU CLASELE I-IV OSVAREU",155,BOTIZ,137185,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:13:18",1828,1804,2,6,16,832,810,0,6,16,805,27,2000,1168,80,47,279,178,157,24,32,8
