precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONICI FLORIN-DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CICIO ANUŢA-FORȚA DREPTEI-voturi"
32,"SATU MARE","PRIMARIA COM. CAMARZANA",161,CĂMĂRZANA,137274,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:26",1062,1011,2,7,42,468,417,2,7,42,396,21,1200,783,233,25,138
32,"SATU MARE","SCOALA GENERALA CAMARZANA",162,CĂMĂRZANA,137274,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:27",920,877,0,6,37,390,347,0,6,37,382,8,956,566,296,12,74
