precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CSORBA MARTIN-SZILÁRD-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","SALLAI IOAN-voturi"
13,CLUJ,"CAMIN CULTURAL SIC",634,SIC,59416,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:58:17",735,664,2,6,63,529,460,0,6,63,522,7,802,273,174,348
13,CLUJ,"CAMIN CULTURAL SIC",635,SIC,59416,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:40:05",1155,1024,2,1,128,798,671,1,1,125,779,19,1266,468,222,557
