precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
7,BOTOŞANI,"SCOALA CU CLASELE 1-4 ICHIMENI",155,AVRĂMENI,36202,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:37:17",104,96,0,8,0,47,39,0,8,0,43,4,153,106,5,2,23,13
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ NR.1 AVRĂMENI",153,AVRĂMENI,36202,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:33",1260,1213,0,20,27,652,605,0,20,27,624,28,1300,648,70,62,383,109
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ NR.3 TUDOR VLADIMIRESCU",157,AVRĂMENI,36202,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:26:34",630,619,0,3,8,336,325,0,3,8,324,12,699,363,32,38,228,26
7,BOTOŞANI,"SCOALA PRIMARĂ NR.1 TIMUȘ SAT TIMUȘ",156,AVRĂMENI,36202,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:53:55",558,531,0,15,12,336,309,0,15,12,326,10,600,264,20,38,237,31
7,BOTOŞANI,"ȘCOALA PRIMARĂ NR.4 AUREL VLAICU",154,AVRĂMENI,36202,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:21:46",463,454,0,4,5,274,265,0,4,5,269,5,500,226,19,31,123,96
