precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CONSTANTINESCU IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","COSTIN NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FILIP IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","DUMITRIU ION-PARTIDUL S.O.S. ROMÂNIA-voturi","GRIGORE FLORENTIN-MIHAI-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
29,NEAMŢ,"CENTRU CULTURAL MULTIFUNCTIONAL",489,ZĂNEŞTI,125061,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:08",1150,1130,1,4,15,617,598,0,4,15,593,24,1200,583,82,13,306,28,164
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM NORMAL, LOC TRAIAN",490,ZĂNEŞTI,125061,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:38:24",857,851,0,5,1,422,416,0,5,1,403,19,900,478,51,14,234,37,67
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR. 1, LOC ZĂNEŞTI",488,ZĂNEŞTI,125061,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:59:48",1394,1376,0,3,15,746,728,0,3,15,719,27,1500,754,125,15,431,34,114
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR. 2, LOC ZĂNEŞTI",487,ZĂNEŞTI,125061,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:42",1513,1502,1,4,6,730,722,0,4,4,705,25,1600,870,116,16,401,63,109
