precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞTEFAN MARIA-voturi"
14,CONSTANŢA,"CONSILIULUI LOCAL TÎRGUȘOR",540,TÂRGUŞOR,62985,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:34:43",1056,1030,2,15,9,778,753,1,15,9,752,26,1146,366,414,215,53,70
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR.2 MIREASA",541,TÂRGUŞOR,62985,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:48:34",272,252,0,18,2,179,159,0,18,2,173,6,275,96,100,58,12,3
