precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
20,GORJ,"CĂMIN CULTURAL CĂLUGĂRENI",258,PADEŞ,81095,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 19:44:56",878,856,1,8,13,604,583,0,8,13,576,28,1000,396,212,60,9,14,17,264
20,GORJ,"ȘCOALA GENERALĂ CERNA SAT",260,PADEŞ,81095,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:48:41",52,45,0,7,0,44,37,0,7,0,41,3,100,56,10,6,3,4,1,17
20,GORJ,"ȘCOALA GIMNAZIALĂ MOTRU-SEC",261,PADEŞ,81095,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 20:34:39",1637,1614,1,7,15,1145,1123,0,7,15,1085,60,1759,614,328,144,32,28,7,546
20,GORJ,"ȘCOALA GIMNAZIALĂ PADEȘ",259,PADEŞ,81095,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 20:02:33",1341,1317,1,11,12,883,860,0,11,12,841,42,1400,517,283,70,9,12,14,453
