precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TRIPON GHEORGHE-DORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","SPĂTAR ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL",161,GÂRBOU,141232,3,PART,PRCNCT,P,P_SV,"2024-06-10 02:04:37",102,84,0,16,2,75,57,0,16,2,74,1,110,35,24,50
33,SĂLAJ,"CĂMINUL CULTURAL",166,GÂRBOU,141232,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:20:45",273,254,0,12,7,198,179,0,12,7,190,8,290,92,110,80
33,SĂLAJ,"CĂMINUL CULTURAL CERNUC",163,GÂRBOU,141232,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:52:17",149,137,0,10,2,87,75,0,10,2,81,6,150,63,48,33
33,SĂLAJ,"PRIMĂRIA GÎRBOU",160,GÂRBOU,141232,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:38:47",492,447,1,25,19,307,263,0,25,19,289,18,494,187,178,111
33,SĂLAJ,"ȘCOALA PRIMARĂ",165,GÂRBOU,141232,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:43:47",252,242,0,5,5,120,110,0,5,5,112,8,270,150,82,30
33,SĂLAJ,"ȘCOALA PRIMARĂ",164,GÂRBOU,141232,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:48:54",85,76,0,9,0,72,63,0,9,0,72,0,100,28,54,18
33,SĂLAJ,"ȘCOALA PRIMARĂ",162,GÂRBOU,141232,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:19:26",201,179,0,13,9,146,124,0,13,9,141,5,200,54,74,67
