precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UCHRENCIUC ILIE-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","NICA PETRONEL-VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","BALTĂ LOREDANA-FLAVIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","COSTINEA VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ BUDACU DE SUS",133,DUMITRIŢA,179686,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:10:32",1575,1535,1,10,29,895,855,1,10,29,830,65,1611,714,652,52,111,15
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ DUMITRIȚA",132,DUMITRIŢA,179686,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:47:28",1079,1047,2,6,24,637,607,0,6,24,617,20,1150,513,438,52,111,16
