precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CACARAN CRISTIAN-voturi","CHICIUC ADRIAN-voturi"
38,TULCEA,"CĂMINUL CULTURAL",104,CERNA,160127,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:48:31",805,777,1,6,21,485,458,0,6,21,474,11,863,378,145,116,192,12,9
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL MIRCEA VODĂ",103,CERNA,160127,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 20:04:32",412,387,1,13,11,250,226,0,13,11,249,1,443,193,81,113,29,14,12
38,TULCEA,"ŞCOALA GENERAL PRAPORGESCU",102,CERNA,160127,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:33:27",150,144,0,4,2,70,64,0,4,2,67,3,162,91,44,9,11,1,2
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”PANAIT CERNA”",101,CERNA,160127,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:21:35",1673,1589,4,40,40,1025,943,2,40,40,1000,25,1749,724,427,175,251,102,45
