precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TRANĂ GHEORGHE-UNIUNEA SALVAȚI ROMÂNIA-voturi","TOTOROAŢĂ MARIN-PARTIDUL SOCIAL DEMOCRAT-voturi","GRIGORIE MIHAI-ANDREI-PARTIDUL NAȚIONAL LIBERAL-voturi","BOIANGIU AMELIA-EMANUELA-PATRICIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
17,DOLJ,"DISPENSAR UMAN",513,ŢUGLUI,74509,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:22:03",227,217,0,10,0,140,130,0,10,0,126,14,311,171,2,54,40,30
17,DOLJ,"GRĂDINIȚA NR 2 ȚUGLUI",512,ŢUGLUI,74509,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:57:27",901,878,0,9,14,598,575,0,9,14,577,21,1000,402,14,218,333,12
17,DOLJ,"ȘCOALA GIMNAZIALĂ ȚUGLUI",511,ŢUGLUI,74509,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:35:16",1312,1279,1,15,17,875,843,0,15,17,838,37,1345,470,2,341,491,4
