precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPESCU CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","DINESCU LAURENŢIU-VALENTIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","VASILCA ŞTEFAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"CĂMINUL CULTURAL CARPEN",284,CARPEN,71536,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:57",685,613,0,54,18,499,427,0,54,18,481,18,742,243,29,29,423
17,DOLJ,"CĂMINUL CULTURAL CLEANOV",285,CARPEN,71536,2,PART,PRCNCT,P,P_SV,"2024-06-12 17:04:20",1005,945,1,28,31,599,539,1,28,31,573,26,1100,501,95,15,463
