precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHĂEŞ GRIGORE-PARTIDUL SOCIAL DEMOCRAT-voturi","LAZĂR FĂNICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","POPESCU NICU-CIPRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR.1 NĂRUJA",225,NĂRUJA,176891,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:13:47",971,935,0,6,30,637,601,0,6,30,601,19,1062,442,533,2,66
41,VRANCEA,"ŞCOALA CU CLASELE I-IV",226,NĂRUJA,176891,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:00:43",545,540,0,1,4,312,307,0,1,4,307,5,592,280,273,8,26
