precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
20,GORJ,"CĂMINUL CULTURAL CÎLNIC",186,CÂLNIC,79736,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:36:10",717,676,1,30,10,519,479,0,30,10,508,11,706,187,142,247,79,6,2,32
20,GORJ,"ŞCOALA PRIMARĂ CÎLNICU DE SUS",187,CÂLNIC,79736,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:43:36",698,670,1,18,9,421,394,0,18,9,406,10,700,276,138,193,40,6,1,28
20,GORJ,"ŞCOALA PRIMARĂ HODOREASCA",188,CÂLNIC,79736,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:15:02",334,314,0,18,2,229,209,0,18,2,213,16,400,171,35,113,31,4,4,26
20,GORJ,"ŞCOALA PRIMARĂ PINOASA",189,CÂLNIC,79736,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:21:31",178,160,0,16,2,136,118,0,16,2,132,4,199,59,37,73,11,2,0,9
