precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","RODEAN MIHAI-EMIL-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL GENERAL BERTHELOT - CLĂDIRE ANEXĂ AFTER SCHOOL",365,"GENERAL BERTHELOT",91731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:13:49",519,504,0,9,6,395,380,0,9,6,387,8,549,154,154,68,116,31,18
22,HUNEDOARA,"ȘCOALA PRIMARĂ TUȘTEA",366,"GENERAL BERTHELOT",91731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:32:44",208,202,0,5,1,160,154,0,5,1,155,5,230,70,87,13,23,30,2
