precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOMA DOINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OSMAN ERDAL-PARTIDUL NAȚIONAL LIBERAL-voturi","OŢELEANU MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
14,CONSTANŢA,"CĂMIN CULTURAL TĂTARU",411,COMANA,61452,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:01:46",547,537,2,3,5,282,273,1,3,5,270,12,590,308,72,165,33
14,CONSTANŢA,"SCOALA CU CLASELE I-VIII COMANA",409,COMANA,61452,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:17:42",800,788,1,2,9,483,472,0,2,9,472,11,870,387,103,276,93
14,CONSTANŢA,"ŞCOALA CU CLS. I - IV PELINU",410,COMANA,61452,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:09",218,206,1,10,1,148,137,0,10,1,147,1,228,80,49,93,5
