precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL LĂSTUNI",154,"MIHAIL KOGĂLNICEANU",160877,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:18:30",373,355,1,6,11,307,290,0,6,11,298,9,407,100,102,24,168,4
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL RÂNDUNICA",155,"MIHAIL KOGĂLNICEANU",160877,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:15:50",499,484,0,5,10,346,331,0,5,10,337,9,542,196,108,37,183,9
38,TULCEA,"ŞCOALA GIMNAZIALĂ MIHAIL KOGĂLNICEANU",153,"MIHAIL KOGĂLNICEANU",160877,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:20:57",1669,1571,0,55,43,1123,1025,0,55,43,1082,41,1764,641,389,122,548,23
