precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂCANU DANIEL-SORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GHEŢA ANDI-PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"GRĂDINIŢA VÂNĂTORI",191,LISA,153124,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:48:23",521,476,1,8,36,358,313,1,8,36,352,6,518,160,290,62
36,TELEORMAN,"PRIMĂRIA LISA",190,LISA,153124,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:11",1279,1184,0,14,81,771,676,0,14,81,768,3,1290,519,686,82
