precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
24,IAŞI,"SCOALA GIMNAZIALA MIROSLOVESTI",560,MIROSLOVEŞTI,98051,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 20:31:09",1529,1476,1,17,35,869,817,0,17,35,826,39,1658,793,98,240,36,452
24,IAŞI,"SCOALA GIMNAZIALA SOCI",561,MIROSLOVEŞTI,98051,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:07:20",1030,995,2,5,28,582,549,0,5,28,569,13,1100,518,9,138,4,418
24,IAŞI,"SCOALA GIMNAZIALA VERSENI",562,MIROSLOVEŞTI,98051,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:39:30",919,901,1,8,9,474,456,1,8,9,438,36,1000,526,6,64,166,202
