precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
9,BRĂILA,"ȘCOALA GIMNAZIALĂ RÎMNICELU",219,RÂMNICELU,43732,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:07",1062,1061,1,0,0,546,545,1,0,0,520,26,1200,654,41,47,420,12
9,BRĂILA,"ȘCOALA PRIMARĂ CONSTANTINEȘTI",220,RÂMNICELU,43732,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:33:03",265,260,0,5,0,154,149,0,5,0,147,7,300,146,16,7,123,1
9,BRĂILA,"ȘCOALA PRIMARĂ MIHAIL KOGĂLNICEANU",221,RÂMNICELU,43732,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:26:09",195,194,0,1,0,115,114,0,1,0,104,11,236,121,20,6,57,21
