precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRAGU IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","BOCIOG ION-PARTIDUL SOCIAL DEMOCRAT-voturi","MAVREA BOGDAN-NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
40,VÂLCEA,"ŞCOALA TELECHEŞTI",294,MĂLDĂREŞTI,171272,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:26:50",140,132,0,6,2,96,88,0,6,2,95,1,150,54,20,72,3
40,VÂLCEA,"ŞCOALA VECHE MĂLDĂREŞTI",293,MĂLDĂREŞTI,171272,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:09:12",1439,1421,0,8,10,983,965,0,8,10,957,26,1560,577,247,676,34
