precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GREERE CONSTANTIN-FORȚA DREPTEI-voturi","ONICĂ NICOLAE-ALEXANDRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CÎRSTINA CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","TRINCĂ ILIE-PARTIDUL SOCIAL DEMOCRAT-voturi"
40,VÂLCEA,"CĂMIN CULTURAL(FOSTUL CĂMIN CULTURAL DIN CURTEA PRIMĂRIEI)",320,ORLEŞTI,171879,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:44",1453,1407,0,1,45,923,877,0,1,45,886,37,1550,627,72,11,655,148
40,VÂLCEA,"GRĂDINIŢA SILEA",321,ORLEŞTI,171879,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:06",821,797,0,6,18,531,507,0,6,18,511,20,900,369,33,9,365,104
