precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","REIT VALENTIN-ADRIAN-voturi","BANU DANIEL-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL POARTA",309,BRAN,40633,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:43:43",880,868,3,8,1,545,536,0,8,1,527,18,1000,455,172,10,203,16,18,91,17
8,BRAŞOV,"CĂMINUL CULTURAL ŞIMON",312,BRAN,40633,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:32",1039,1026,0,12,1,661,648,0,12,1,651,10,1132,471,105,40,333,71,42,53,7
8,BRAŞOV,"CĂMINUL CULTURAL SOHODOL",311,BRAN,40633,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:39:42",928,917,4,5,2,547,539,1,5,2,521,26,1000,453,97,24,281,35,47,30,7
8,BRAŞOV,"PRIMĂRIA COMUNEI BRAN",308,BRAN,40633,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:33",763,749,2,10,2,517,505,0,10,2,496,21,800,283,86,34,226,23,13,68,46
8,BRAŞOV,"ŞCOALA GENERALĂ PREDELUŢ",310,BRAN,40633,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:45:02",906,894,4,6,2,594,586,0,6,2,568,26,1004,410,146,23,239,30,6,90,34
