precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
18,GALAŢI,"SCOALA GENERALA MĂCIŞENI",263,CORNI,76004,2,PART,PRCNCT,CL,CL_SV,"2024-06-15 14:13:42",654,623,1,15,15,437,406,1,15,15,415,22,710,273,148,38,216,13
18,GALAŢI,"SCOALA GENERALA URLEŞTI",264,CORNI,76004,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:59",368,345,0,14,9,257,234,0,14,9,254,3,381,124,19,163,68,4
18,GALAŢI,"SCOALA NOUA - SAT CORNI",262,CORNI,76004,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:32",705,671,0,14,20,462,428,0,14,20,453,9,730,268,58,42,348,5
