precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PĂTRAŞCU PETRU-ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ILAŞ MARIA-voturi"
7,BOTOŞANI,"CĂMINUL CULTURAL CONCEȘTI",178,CONCEŞTI,36532,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:36",1308,1272,0,3,33,671,635,0,3,33,641,30,1300,629,67,574
7,BOTOŞANI,"CAMINUL CULTURAL MOVILENI",179,CONCEŞTI,36532,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:05:43",253,245,0,2,6,131,123,0,2,6,122,9,314,183,17,105
