precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi"
33,SĂLAJ,"PRIMĂRIA NĂPRADEA",233,NĂPRADEA,142177,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:40:10",622,592,1,6,23,411,383,1,6,21,396,15,678,267,32,213,8,97,46
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”PETRE HOSSU”",234,NĂPRADEA,142177,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:21:17",724,702,1,9,12,471,450,0,9,12,434,37,758,287,7,90,13,272,52
33,SĂLAJ,"ŞCOALA SOMEŞ GURUSLĂU",235,NĂPRADEA,142177,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:01:45",356,348,0,8,0,214,206,0,8,0,206,8,390,176,25,101,6,73,1
33,SĂLAJ,"ŞCOALA TRANIŞ",236,NĂPRADEA,142177,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:51:29",269,269,0,0,0,152,152,0,0,0,144,8,300,148,2,73,6,58,5
33,SĂLAJ,"ŞCOALA VĂDURELE",237,NĂPRADEA,142177,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:24:22",159,159,0,0,0,132,132,0,0,0,130,2,190,58,0,46,28,55,1
