precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BARCUI BARNA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","DUMITRESCU LUCIA-PARTIDUL SOCIAL DEMOCRAT-voturi","MAIOR GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi"
5,BIHOR,"CĂMINUL CULTURAL CRESTUR",478,PETREU,27169,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:10:07",404,398,1,5,0,197,192,0,5,0,178,19,444,247,138,28,12
5,BIHOR,"GRĂDINIȚA CU PROGRAM NORMAL NR.1 PETREU",476,PETREU,27169,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:26:30",1423,1398,2,10,13,733,708,2,10,13,683,50,1565,832,608,37,38
5,BIHOR,"ȘCOALA GENERALĂ FĂNCICA",479,PETREU,27169,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:44:40",234,229,1,4,0,85,81,0,4,0,84,1,255,170,27,22,35
5,BIHOR,"VECHIUL SEDIU AL PRIMĂRIEI ABRĂMUȚ",477,PETREU,27169,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:45:24",368,365,0,3,0,140,137,0,3,0,131,9,406,266,47,21,63
