precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MÁTÉFI REZSŐ-PARTIDUL SOCIAL DEMOCRAT-voturi","MUZSNAI MELINDA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TĂPĂLAGĂ NICOLAE-BOGDAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
34,SIBIU,"LICEUL TEHNOLOGIC ”NICOLAE TECLU” COPŞA MICĂ, STRADA ŞOSEAUA SIBIULUI, NR.61",186,"ORAŞ COPŞA MICĂ",143771,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:06:28",1424,1407,0,12,5,622,605,0,12,5,609,13,1570,948,140,15,454
34,SIBIU,"ŞCOALA GIMNAZIALĂ COPŞA MICĂ, STRADA COLONIA LABORATOR, NR.45",185,"ORAŞ COPŞA MICĂ",143771,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:59:47",1443,1434,0,7,2,624,615,0,7,2,617,4,1594,16,207,4,406
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.1 COPŞA MICĂ,STRADA ŞOSEAUA MEDIAŞULUI, NR.93",187,"ORAŞ COPŞA MICĂ",143771,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:55:50",1257,1232,3,15,7,495,473,0,15,7,471,17,1360,865,131,35,305
34,SIBIU,"ŞCOALA PRIMARĂ NR. 2 COPŞA MICĂ, STRADA TÂRNĂVIOARA, NR.76",188,"ORAŞ COPŞA MICĂ",143771,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:41",447,440,1,6,0,171,165,0,6,0,162,9,480,309,31,3,128
