precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BULITEANU-DIMA GABRIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DE MEZZO MARIO-LUCIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MOŢ CONSTANTIN-STELIAN-EMIL-PARTIDUL SOCIAL DEMOCRAT-voturi","DAVIDESCU NICOLAE-CĂTĂLIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","IOTU ELENA-ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi","VĂDUVA CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",8,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:13",1369,1350,3,16,0,765,749,0,16,0,746,19,1491,726,17,369,301,12,44,3
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",6,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:44",1338,1324,2,7,5,640,628,0,7,5,623,17,1476,836,22,296,259,13,26,7
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",9,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:02:58",1312,1307,0,5,0,707,702,0,5,0,692,15,1423,716,16,281,319,19,37,20
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",7,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:19:59",1468,1465,0,3,0,713,710,0,3,0,704,9,1621,908,24,391,223,16,32,18
30,OLT,"COLEGIUL NAŢIONAL RADU GRECEANU",2,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:51:27",1486,1472,6,5,3,768,760,0,5,3,747,21,1666,898,22,350,331,9,22,13
30,OLT,"COLEGIUL NAŢIONAL RADU GRECEANU",1,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:59:23",1278,1266,2,9,1,629,619,0,9,1,613,16,1411,782,15,306,252,8,21,11
30,OLT,"COLEGIUL NAŢIONAL RADU GRECEANU",3,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 21:03:26",1871,1862,0,9,0,917,908,0,9,0,851,66,2051,1134,29,194,603,4,8,13
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL",46,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 20:41:12",1348,1341,1,5,1,767,761,0,5,1,727,40,1472,705,30,326,282,15,55,19
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL NR. 5",42,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:02:20",1954,1936,2,16,0,1096,1080,0,16,0,1045,51,2133,1037,46,520,399,17,45,18
30,OLT,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 8",37,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:00",1060,1049,1,10,0,501,491,0,10,0,494,7,1173,672,17,266,154,8,30,19
