precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”MIRCEA GHIŢULESCU” CUCA",322,CUCA,16132,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:23:44",394,358,0,31,5,275,239,0,31,5,264,11,467,192,87,146,11,20
3,ARGEŞ,"ŞCOALA PRIMARĂ CÎRCEŞTI",323,CUCA,16132,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:56:45",235,225,0,7,3,153,143,0,7,3,149,4,338,185,62,52,31,4
3,ARGEŞ,"ŞCOALA PRIMARĂ LĂUNELE",325,CUCA,16132,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:59:27",486,470,0,16,0,302,286,0,16,0,282,20,471,169,159,97,14,12
3,ARGEŞ,"ŞCOALA PRIMARĂ MĂCĂI",324,CUCA,16132,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:58:01",504,474,2,28,0,347,317,2,28,0,337,10,500,152,136,173,13,15
