precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TANASĂ DAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SCRIPCARU GEORGE-ALIANȚA ELECTORALĂ PSD PNL-voturi","MUSCALU-CREŢU FLORIN-PARTIDUL ROMÂNIA MARE-voturi","COLIBAN ALLEN-ALIANȚA UNIȚI PENTRU BRAȘOV-voturi","GOIDESCU IONEL-PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","CIOBANU ADRIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","DOGAR NICOLAE-FLORIN-voturi"
8,BRAŞOV,"CANTINA STUDENŢEASCĂ",134,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:12",1556,1512,18,26,0,731,705,0,26,0,718,13,1700,969,33,312,3,345,2,11,12
8,BRAŞOV,"CATTIA (CENTRUL DE AFACERI, TRANSFER TEHNOLOGIC ȘI INCUBATOR DE AFACERI)",152,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:57:13",1835,1779,22,33,1,832,798,0,33,1,820,12,1900,1021,16,258,2,516,5,10,13
8,BRAŞOV,"CATTIA (CENTRUL DE AFACERI, TRANSFER TEHNOLOGIC ȘI INCUBATOR DE AFACERI)",153,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:27",1747,1735,0,12,0,783,771,0,12,0,773,9,1900,1118,16,289,9,436,1,12,10
8,BRAŞOV,"CATTIA (CENTRUL DE AFACERI, TRANSFER TEHNOLOGIC ȘI INCUBATOR DE AFACERI)",154,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:49:29",1657,1617,22,18,0,725,706,1,18,0,715,10,1800,1075,15,243,2,434,1,16,4
8,BRAŞOV,"CENTRUL REGIONAL DE FORMARE PROFESIONALĂ BRAŞOV",133,"MUNICIPIUL BRAŞOV",40198,5,PART,PRCNCT,P,P_SV,"2024-06-10 12:09:02",1775,1733,24,17,1,859,841,0,17,1,808,51,1900,1041,31,314,5,442,4,5,7
8,BRAŞOV,"CENTRUL REGIONAL DE FORMARE PROFESIONALĂ BRAŞOV",132,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:26:13",931,928,0,3,0,357,354,0,3,0,344,13,1000,643,14,188,2,127,1,9,3
8,BRAŞOV,"COLEGIUL DE ŞTIINŢE ”GRIGORE ANTIPA”",109,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:19:05",1346,1328,6,12,0,623,611,0,12,0,608,15,1500,877,28,275,2,277,4,11,11
8,BRAŞOV,"COLEGIUL DE ŞTIINŢE ”GRIGORE ANTIPA”",107,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:42:45",1360,1345,9,6,0,670,664,0,6,0,644,26,1500,830,23,292,1,290,5,9,24
8,BRAŞOV,"COLEGIUL DE ŞTIINŢE ”GRIGORE ANTIPA”",110,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:10:36",1169,1118,0,9,42,590,539,0,9,42,574,16,1300,710,15,275,6,257,4,11,6
8,BRAŞOV,"COLEGIUL DE ŞTIINŢE ”GRIGORE ANTIPA”",108,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:59",1388,1372,8,8,0,628,619,1,8,0,618,10,1500,872,26,288,8,279,2,7,8
