precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL GRECI",182,GRECI,111916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:56:01",547,419,0,94,34,433,305,0,94,34,414,19,495,62,186,165,36,0,27
27,MEHEDINŢI,"ŞCOALA GENERALĂ BÎLTANELE",183,GRECI,111916,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:47:43",370,290,0,56,24,284,204,0,56,24,280,4,346,62,97,168,7,0,8
27,MEHEDINŢI,"ŞCOALA GENERALĂ SĂLĂTRUC",184,GRECI,111916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:51",191,154,0,25,12,143,106,0,25,12,141,2,171,28,49,85,4,0,3
