precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL VERDE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL VIITORUL ȚĂRII FĂGĂRAȘULUI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
8,BRAŞOV,"COLEGIUL NAŢIONAL ”DOAMNA STANCA”",214,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:14:38",1241,1231,4,6,0,485,479,0,6,0,474,11,1400,915,206,73,11,37,4,18,16,38,60,11
8,BRAŞOV,"COLEGIUL NAŢIONAL ”DOAMNA STANCA”",213,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:43:20",1322,1309,5,5,3,493,484,1,5,3,477,16,1500,1007,178,72,14,37,13,28,18,56,58,3
8,BRAŞOV,"COLEGIUL NAȚIONAL ”DOAMNA STANCA”",212,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:59",953,931,11,8,3,367,353,3,8,3,359,8,1019,652,131,48,29,29,15,13,16,35,32,11
8,BRAŞOV,"COLEGIUL NAŢIONAL „RADU NEGRU”",217,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:15:15",1367,1365,0,2,0,401,399,0,2,0,387,14,1200,799,199,63,6,15,4,14,13,30,42,1
8,BRAŞOV,"COLEGIUL NAŢIONAL „RADU NEGRU”",218,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:15:17",1236,1235,0,1,0,504,503,0,1,0,498,6,1400,896,228,66,10,40,12,16,18,40,58,10
8,BRAŞOV,"COLEGIUL NAȚIONAL ”RADU NEGRU”",221,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:26:16",1514,1507,1,6,0,523,517,0,6,0,507,16,1700,1177,217,62,15,49,13,18,12,41,66,14
8,BRAŞOV,"COLEGIUL NAȚIONAL ”RADU NEGRU”",219,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:45:37",1343,1335,1,7,0,382,375,0,7,0,371,11,1500,1118,192,35,2,22,16,20,13,21,34,16
8,BRAŞOV,"COLEGIUL NAȚIONAL ”RADU NEGRU”",220,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:31:56",1498,1493,2,3,0,472,469,0,3,0,453,19,1700,1228,178,58,9,33,70,9,14,26,39,17
8,BRAŞOV,"DIRECȚIA DE ASISTENȚĂ SOCIALĂ",206,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:34",1487,1475,2,9,1,498,488,0,9,1,481,17,1700,1202,239,55,6,28,35,18,13,29,44,14
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT ALBINUȚA",226,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:40:32",1045,1033,0,12,0,494,482,0,12,0,489,5,1200,706,193,62,10,32,36,9,19,42,76,10
