precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂGHICI ION-PARTIDUL SOCIAL DEMOCRAT-voturi","FILIMON IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","TOMA NAPOLION-NELUŞ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","JIPA GEORGE-FLORIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"GRĂDINIŢA CU PROGRAM NORMAL RUCĂRENI",286,SOVEJA,177762,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:04:39",698,665,1,10,22,413,381,0,10,22,398,15,747,334,101,279,6,12
41,VRANCEA,"SCOALA GENERAL[ SIMION MEHEDINTI",285,SOVEJA,177762,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:25:09",1003,963,1,15,24,622,582,1,15,24,597,25,1072,450,127,422,21,27
