precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL DACISMULUI AUTONOM CONSERVATOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",288,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:16:10",582,562,2,8,10,292,274,0,8,10,277,14,600,309,157,24,29,36,23,4,3,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",289,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:17:49",70,64,0,6,0,48,42,0,6,0,47,1,100,52,36,2,7,1,0,1,0,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",295,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:30:59",219,213,0,6,0,219,213,0,6,0,160,2,300,138,45,19,90,4,1,1,0,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",287,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:19:05",286,283,0,3,0,197,194,0,3,0,193,4,300,103,87,67,8,8,0,19,4,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",285,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:42:36",793,778,0,7,8,506,491,0,7,8,487,19,800,294,316,52,66,26,6,14,4,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",293,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:31:30",273,262,0,4,7,189,178,0,4,7,183,5,300,112,125,18,28,4,4,2,0,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",291,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:00:23",704,701,0,0,3,383,383,0,0,0,365,18,800,416,219,56,26,20,1,7,13,23
26,MARAMUREŞ,"CĂMINUL CULTURAL",286,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:11:38",591,583,0,4,4,365,357,0,4,4,348,17,600,235,218,82,9,19,9,6,3,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",292,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:39:39",392,378,1,9,4,259,246,0,9,4,255,4,400,141,109,69,53,19,2,0,1,2
26,MARAMUREŞ,ŞCOALA,290,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:30",234,226,0,6,2,126,118,0,6,2,122,4,300,174,78,21,7,11,1,1,2,1
26,MARAMUREŞ,ŞCOALA,294,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:02:34",301,294,0,6,1,196,189,0,6,1,191,5,300,104,142,27,9,2,0,7,4,0
26,MARAMUREŞ,"ȘCOALA VAD",296,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:09:44",286,278,0,8,0,201,193,0,8,0,194,7,300,99,37,87,4,17,1,43,1,4
