precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CĂLIN IONUŢ-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","PETRE PETRE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GOGA IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","VÎRŞARU IONUŢ-LUCIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"SCOALA GIMNAZIALA MOVILITA",179,MOVILIŢA,104270,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:33:49",1156,1129,4,19,4,803,779,1,19,4,781,22,1250,447,221,145,382,33
23,IALOMIŢA,"SCOALA GIMNAZIALA MOVILITA",180,MOVILIŢA,104270,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:29",823,809,1,12,1,557,544,0,12,1,545,12,890,333,141,93,282,29
