precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALĂ DUMITRU PĂTRAȘCU",108,"CREVEDIA MARE",102348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:04:39",1500,1482,0,17,1,1104,1086,0,17,1,1073,24,1630,533,29,417,595,32
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NICOLAE CREVEDIA",107,"CREVEDIA MARE",102348,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:23:00",1192,1178,0,12,2,805,791,0,12,2,782,23,1289,484,25,176,541,40
19,GIURGIU,"ŞCOALA PRIMARĂ NR 1 DEALU",109,"CREVEDIA MARE",102348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:27:28",1112,1104,0,6,2,675,667,0,6,2,637,38,1205,530,29,262,280,66
