precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROMAN CATALIN-VICTOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VELEA DANIEL-NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","ROPAN GAVRIL-PARTIDUL NAȚIONAL LIBERAL-voturi","CHINDRIŞ CLAUDIU-VIOREL-UNIUNEA SALVAȚI ROMÂNIA-voturi","STANCIU IONEL-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",300,COROIENI,107868,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:30:42",171,158,0,4,9,107,94,0,4,9,102,5,200,93,1,32,54,14,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",298,COROIENI,107868,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:34",349,339,0,2,8,242,232,0,2,8,237,5,350,108,1,14,182,40,0
26,MARAMUREŞ,PRIMÃRIE,297,COROIENI,107868,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:58:08",305,291,0,8,6,193,179,0,8,6,190,3,310,117,13,14,104,59,0
26,MARAMUREŞ,"ŞCOALA CU CLASELE I-IV",299,COROIENI,107868,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:24:19",157,143,0,8,6,117,103,0,8,6,111,6,200,83,1,57,31,12,10
26,MARAMUREŞ,"ŞCOALA GENERALÃ",301,COROIENI,107868,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:22:44",426,417,0,4,5,307,298,0,4,5,293,14,450,143,3,83,72,135,0
26,MARAMUREŞ,"ȘCOALA PRIMARĂ PONORÂTA",302,COROIENI,107868,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:07:15",378,371,0,7,0,313,306,0,7,0,250,63,400,87,3,15,217,15,0
