precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL CONSERVATOR DEMOCRAT-voturi","PARTIDUL ROMÂNIA MARE-voturi","PÂRVU ŞTEFAN-voturi"
18,GALAŢI,"SCOALA ELEMENTARA LUNGOCI",309,FUNDENI,76353,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:41",400,389,0,11,0,226,215,0,11,0,209,17,428,202,24,23,147,2,0,13
18,GALAŢI,"ŞCOALA GENERALA FUNDENI",306,FUNDENI,76353,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:43",639,630,1,6,2,378,370,0,6,2,362,16,694,316,64,24,262,0,7,5
18,GALAŢI,"ŞCOALA GENERALA HANU CONACHI",308,FUNDENI,76353,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:02:16",848,847,0,0,1,447,446,0,0,1,426,21,934,486,181,103,125,5,5,7
18,GALAŢI,"ŞCOALA GENERALA HANU CONACHI",307,FUNDENI,76353,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:38:00",1174,1165,1,0,8,622,614,0,0,8,586,33,1283,661,234,129,203,5,8,7
