precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUMITRAŞCU IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","DUDA EMIL-PARTIDUL SOCIAL DEMOCRAT-voturi","DUDA ALEXANDRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VIZUREANU ION-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”GEORGE IVAȘCU”",259,CERŢEŞTI,75917,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:24",726,684,1,17,24,447,406,0,17,24,438,9,747,300,50,299,84,5
18,GALAŢI,"ȘCOALA PRIMARĂ",260,CERŢEŞTI,75917,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:20:55",590,559,0,9,22,359,328,0,9,22,351,8,640,281,98,218,8,27
18,GALAŢI,"ȘCOALA PRIMARĂ",261,CERŢEŞTI,75917,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:38:43",578,544,0,12,22,390,356,0,12,22,368,22,595,205,88,270,7,3
