precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FĂRGACIU CĂLIN-STELIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","GORGA VIRGIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RAŢIU-CRIŞAN VIOREL-MARCEL-PARTIDUL SOCIAL DEMOCRAT-voturi","MOLDOVAN CIPRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
13,CLUJ,ŞCOALA,608,SĂNDULEŞTI,55311,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:19",649,627,0,16,6,372,350,0,16,6,365,7,629,257,283,8,21,53
13,CLUJ,"ŞCOALA SIMION BALINT",609,SĂNDULEŞTI,55311,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:43",1207,1172,2,9,24,678,644,1,9,24,665,13,1288,610,476,32,34,123
