precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"CAMIN CULTURAL",162,LEHLIU,93851,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:19:22",1386,1321,0,26,39,937,872,0,26,39,882,55,1329,392,79,256,495,5,34,13
12,CĂLĂRAŞI,"CĂMIN CULTURAL ȘTEFĂNEȘTI",155,ILEANA,103764,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:04:38",613,599,1,13,0,355,342,0,13,0,342,13,660,305,39,270,19,3,9,2
12,CĂLĂRAŞI,"CANTINA DE AJUTOR SOCIAL",50,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:00:15",546,538,0,8,0,250,242,0,8,0,223,27,592,342,74,109,25,2,8,5
12,CĂLĂRAŞI,"CANTINA DE AJUTOR SOCIAL",53,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:15:20",1107,1097,0,7,3,591,581,0,7,3,567,24,1215,624,63,319,112,13,27,33
12,CĂLĂRAŞI,"CASA DE CULTURA",77,"ORAŞ LEHLIU-GARĂ",93888,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:50:30",1495,1471,0,16,8,915,891,0,16,8,892,23,1600,685,192,522,90,16,31,41
12,CĂLĂRAŞI,"CENTRUL CULTURAL MULTIFUNCȚIONAL",121,DOROBANŢU,93441,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:45:30",1188,1150,1,14,23,793,757,0,14,22,728,65,1243,450,65,174,453,9,18,9
12,CĂLĂRAŞI,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ CĂLĂRAŞI",4,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:37:00",727,720,1,6,0,363,357,0,6,0,347,16,720,357,62,147,62,7,20,49
12,CĂLĂRAŞI,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ CĂLĂRAŞI",3,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:18:54",995,942,1,10,42,455,403,0,10,42,440,15,1035,580,64,179,93,20,17,67
12,CĂLĂRAŞI,"COLEGIUL ECONOMIC SEDIU",51,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:58:19",1299,1285,5,9,0,651,642,0,9,0,627,24,1429,778,98,262,134,17,25,91
12,CĂLĂRAŞI,"COLEGIUL ECONOMIC SEDIUL B",43,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:04:31",1064,1053,0,10,1,482,471,0,10,1,463,10,1157,684,105,216,71,8,22,41
