precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL VALEAPAI",305,RAMNA,53639,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:29:12",381,308,2,60,11,278,208,1,58,11,265,13,340,62,85,3,54,122,1
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ RAMNA",304,RAMNA,53639,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:33:41",1026,961,0,37,28,649,584,0,37,28,628,21,1050,401,314,6,249,50,9
