precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
6,BISTRIŢA-NĂSĂUD,"AUTOGARA CĂLĂTORI",74,"ORAŞ NĂSĂUD",32544,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:41:38",1677,1658,0,17,2,752,733,0,17,2,720,32,1850,1098,3,1,3,24,360,251,19,52,7
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA COMUNALĂ SATU NOU",105,CETATE,32884,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:06:15",618,602,1,7,8,439,424,0,7,8,397,42,656,217,6,1,1,26,141,142,25,52,3
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA ORĂȘENEASCĂ BECLEAN „LIVIU REBREANU”",59,"ORAŞ BECLEAN",32483,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:04:21",1596,1525,3,42,26,902,834,0,42,26,858,19,1700,823,0,0,0,98,280,316,84,80,0
6,BISTRIŢA-NĂSĂUD,"CABANA STARSILVA FIAD",295,TELCIU,35054,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:31:58",158,149,0,9,0,90,81,0,9,0,79,11,200,110,0,0,0,0,28,37,7,6,1
6,BISTRIŢA-NĂSĂUD,"CĂMIN CULTURAL",242,"SÂNMIHAIU DE CÂMPIE",34477,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:34:05",176,146,0,25,5,128,98,0,25,5,117,11,150,22,0,3,0,6,8,81,2,17,0
6,BISTRIŢA-NĂSĂUD,"CAMIN CULTURAL ”GRIGORE PLETOSU”",259,ŞIEU-MĂGHERUŞ,34690,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:23:53",546,538,0,3,5,287,279,0,3,5,267,20,600,313,1,0,1,12,104,93,13,39,4
6,BISTRIŢA-NĂSĂUD,"CĂMIN CULTURAL JOSENII BÂRGĂULUI",148,"JOSENII BÂRGĂULUI",33382,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:23:06",827,815,2,6,4,461,450,1,6,4,440,21,915,454,5,0,5,5,76,192,40,109,8
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",212,NUŞENI,34075,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:41:13",304,273,0,9,22,179,148,0,9,22,173,6,316,137,1,0,1,124,29,9,6,3,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",276,ŞINTEREAG,34903,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:36:58",250,239,1,7,3,147,137,0,7,3,134,13,250,103,1,1,0,1,38,76,2,14,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",244,"SILIVAŞU DE CÂMPIE",34422,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:48:21",741,696,0,19,26,553,508,0,19,26,462,91,783,230,13,3,14,0,70,223,24,114,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL AGRIŞU DE SUS",264,ŞIEU-ODORHEI,34770,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:15:08",125,121,0,4,0,89,85,0,4,0,81,8,150,61,9,0,0,2,16,28,1,23,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ALBEŞTII BISTRIŢEI",140,"GALAŢII BISTRIŢEI",33275,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:47:20",149,143,0,6,0,89,83,0,6,0,78,11,150,61,0,0,0,5,10,37,4,20,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARCALIA",258,ŞIEU-MĂGHERUŞ,34690,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:26:29",781,773,1,4,3,402,396,0,4,2,366,36,903,501,3,1,3,10,229,76,9,32,3
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARCHIUD",286,TEACA,34985,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:54:29",426,418,1,7,0,276,269,0,7,0,253,23,450,174,3,1,1,15,98,100,14,19,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARŞIŢA",182,"MĂGURA ILVEI",33729,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:35",337,318,1,0,18,236,217,1,0,18,215,21,371,135,1,0,0,2,29,158,2,22,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BAŢA",217,"PETRU RAREŞ",34173,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 11:54:18",707,689,0,6,12,436,418,0,6,12,412,24,749,313,2,3,1,95,152,77,19,60,3
6,BISTRIŢA-NĂSĂUD,"CAMINUL CULTURAL BEUDIU",208,NUŞENI,34075,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:07:48",460,408,2,8,42,320,270,0,8,42,305,15,500,180,1,0,0,15,53,214,9,12,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BIDIU",176,MATEI,33658,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:45:18",142,133,0,4,5,95,86,0,4,5,74,16,140,50,0,0,1,1,18,45,4,4,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BÎRLA",183,MĂRIŞELU,33765,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:56:20",269,266,0,2,1,197,194,0,2,1,185,12,300,103,0,1,0,6,48,105,4,21,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BISTRIŢA BÎRGĂULUI",85,"BISTRIŢA BÂRGĂULUI",32633,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 11:02:52",1374,1357,2,5,10,825,810,0,5,10,786,39,1500,675,5,12,3,25,109,452,49,124,7
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BLĂJENII DE JOS",274,ŞINTEREAG,34903,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:21:06",303,294,0,4,5,187,178,0,4,5,178,9,350,163,0,0,2,4,37,116,9,9,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BRĂTENI",240,"SÂNMIHAIU DE CÂMPIE",34477,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:43:58",79,55,0,22,2,67,43,0,22,2,61,6,80,13,0,0,2,2,16,37,0,4,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BUDURLENI",287,TEACA,34985,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:57:14",73,66,0,7,0,51,44,0,7,0,48,3,100,49,0,1,0,1,16,26,2,2,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BUZA-CĂTUN",111,CHIOCHIŞ,33015,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:26:18",96,92,0,4,0,62,58,0,4,0,60,2,100,38,0,0,0,6,20,15,4,14,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CHIRALEŞ",155,LECHINŢA,33435,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:40:53",393,386,0,6,1,195,188,0,6,1,186,9,440,245,1,0,1,7,51,98,4,20,4
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CICEU-MIHĂIEŞTI",124,CICEU-MIHĂIEŞTI,179953,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:22:12",737,729,1,2,5,401,393,1,2,5,375,26,736,335,2,2,4,17,56,166,74,52,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CICEU-POIENI",103,"CĂIANU MIC",32811,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:59:37",265,237,0,3,25,265,237,0,3,25,261,4,550,285,0,1,0,2,3,251,0,4,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CIREŞOAIA",90,BRANIŞTEA,32660,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:29:36",1153,1096,0,12,45,825,768,0,12,45,820,5,1208,383,0,0,0,798,7,12,2,1,0
