precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BORODI COSTAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SIMIONCA FLORIN-SANDU-PARTIDUL SOCIAL DEMOCRAT-voturi","BANYAI DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
6,BISTRIŢA-NĂSĂUD,"CENTRUL LOCAL DE INFORMARE TURISTICĂ",94,"BUDACU DE JOS",32704,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:54:24",837,824,2,3,8,571,560,0,3,8,556,15,900,329,121,415,20
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI BUDACU DE JOS",92,"BUDACU DE JOS",32704,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:12:24",786,776,0,2,8,422,412,0,2,8,392,30,824,402,87,296,9
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ BUDUŞ",93,"BUDACU DE JOS",32704,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:12",453,433,0,2,18,263,243,0,2,18,258,5,500,237,45,196,17
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ MONARIU",95,"BUDACU DE JOS",32704,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:05:13",434,424,1,6,3,269,260,0,6,3,267,2,450,181,52,146,69
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ SIMIONEŞTI",96,"BUDACU DE JOS",32704,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:18:58",179,169,1,2,7,113,104,1,2,6,109,4,200,87,9,76,24
