precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
15,COVASNA,"CLĂDIREA CĂMINULUI CULTURAL VALEA MARE",199,"VALEA MARE",65099,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:09:55",938,902,1,31,4,611,575,1,31,4,584,27,993,382,485,8,8,77,1,5,0,0
15,COVASNA,"CLĂDIREA CONSILIULUI LOCAL CERNAT, ALBIŞ",131,CERNAT,64194,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:50:05",352,332,2,3,15,210,192,0,3,15,199,11,400,190,6,0,1,1,179,0,7,5
15,COVASNA,"CLĂDIRE ADMINISTRATIVĂ (FOSTUL SEDIU AL ŞCOLII) LUNCA OZUNULUI",174,OZUN,64639,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:43:40",156,144,0,5,7,89,77,0,5,7,79,10,200,111,25,13,14,18,7,0,0,2
15,COVASNA,"CLĂDIREA FOSTEI BIBLIOTECI (CONACUL PÜNKÖSTI)",171,OZUN,64639,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:56:39",1187,1181,1,0,5,604,599,0,0,5,580,24,1300,696,28,46,9,17,459,1,14,6
15,COVASNA,"CLĂDIREA FOSTEI ŞCOLI GENERALE CU CLASELE I-IV ERESTEGHIN",165,MOACŞA,64568,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:22:47",171,171,0,0,0,108,108,0,0,0,100,8,250,142,6,6,0,0,85,1,2,0
15,COVASNA,"CLĂDIREA POPICĂRIEI ZOLTAN",150,GHIDFALĂU,64345,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:22:23",364,353,0,0,11,204,193,0,0,11,191,13,400,196,6,2,4,2,159,0,15,3
15,COVASNA,"CLĂDIREA ȘCOLII ELEMENTARE",175,OZUN,64639,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:01:44",102,95,0,6,1,53,46,0,6,1,49,4,100,47,0,0,1,0,47,0,0,1
15,COVASNA,"CLĂDIRE PRIMARIEI CĂMINUL CULTURAL BAŢANII MARI",97,BĂŢANI,63802,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:49:21",1650,1635,0,3,12,885,870,0,3,12,792,93,1841,956,49,20,18,17,640,0,36,12
15,COVASNA,"CLUBUL CĂMINULUI CULTURAL BRĂDUŢ",115,BRĂDUŢ,64041,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:23:10",686,653,0,6,27,471,438,0,6,27,445,26,800,307,19,7,2,3,402,0,6,6
15,COVASNA,"CLUBUL CĂMINULUI CULTURAL DOBOŞENI",116,BRĂDUŢ,64041,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:03:06",1567,1522,1,7,37,838,794,0,7,37,751,87,1700,862,64,28,9,193,453,0,1,3
15,COVASNA,"CLUBUL CĂMINULUI CULTURAL FILIA",117,BRĂDUŢ,64041,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:31:22",938,885,0,0,53,629,580,0,0,49,604,25,963,328,15,4,6,1,569,0,3,6
15,COVASNA,"CLUBUL CĂMINULUI CULTURAL SÂNZIENI",184,SÂNZIENI,64826,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:47:42",990,957,0,0,33,543,510,0,0,33,522,21,1100,557,13,6,5,3,485,0,8,2
15,COVASNA,"CLUBUL NR. 2 ZĂBALA",210,ZĂBALA,65048,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:07:42",829,817,2,5,5,374,363,1,5,5,332,42,900,526,57,93,11,51,112,3,2,3
15,COVASNA,"CLUBUL ORĂȘENESC- COVASNA",76,"ORAŞ COVASNA",63526,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:59:30",1292,1275,4,7,6,582,569,0,7,6,563,19,1400,818,43,24,14,16,443,2,5,16
15,COVASNA,"COLEGIUL NAȚIONAL ”NAGY MÓZES” TÂRGU SECUIESC",52,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:24:11",1100,1090,0,5,5,515,505,0,5,5,472,43,1200,685,9,12,3,5,369,1,64,9
15,COVASNA,"COLEGIUL NAȚIONAL ”SZÉKELY MIKÓ”",3,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:30:49",1088,1062,11,8,7,528,513,0,8,7,514,14,1200,672,25,16,24,10,394,2,27,16
15,COVASNA,"DIRECŢIA FINANŢE PUBLICE MUNICIPALE",5,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:07:39",810,793,0,11,6,410,393,0,11,6,402,8,900,490,35,7,14,9,318,2,10,7
15,COVASNA,"DIRECȚIA FINANȚE PUBLICE MUNICIPALE",4,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:27:21",816,799,0,11,6,380,363,0,11,6,376,4,900,520,22,12,16,16,285,4,12,9
15,COVASNA,"GRĂDINIȚA CU PROGRAM NORMAL BELIN",101,BELIN,63866,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:23:22",1121,1078,0,4,39,717,674,0,4,39,626,91,1186,469,39,33,9,45,432,1,6,61
15,COVASNA,"GRĂDINIŢA CU PROGRAM NORMAL ”BENEDEK ELEK” TÂRGU SECUIESC",55,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:44:01",1243,1229,2,7,5,462,450,0,7,5,448,14,1400,938,17,18,6,9,326,1,58,13
15,COVASNA,"GRĂDINIȚA CU PROGRAM NORMAL CRASNA",191,"SITA BUZĂULUI",63688,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:13:01",451,451,0,0,0,248,248,0,0,0,236,12,500,252,38,86,11,100,0,1,0,0
15,COVASNA,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 CERNAT",130,CERNAT,64194,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:46:15",880,858,0,0,22,503,481,0,0,22,454,49,1000,497,22,13,3,1,342,1,29,43
15,COVASNA,"GRĂDINIȚA CU PROGRAM NORMAL NR.3 SITA BUZĂULUI",190,"SITA BUZĂULUI",63688,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:11:31",873,870,0,1,2,512,509,0,1,2,480,32,1000,488,88,277,21,89,3,2,0,0
15,COVASNA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3 TÂRGU SECUIESC",60,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:43:06",903,890,1,10,2,404,392,0,10,2,390,14,1000,596,9,14,3,4,314,1,38,7
15,COVASNA,"GRĂDINIȚA CU PROGRAM NORMAL PĂDURENI",166,MOACŞA,64568,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:42:10",265,265,0,0,0,144,144,0,0,0,127,17,300,156,5,14,0,0,108,0,0,0
15,COVASNA,"GRĂDINIŢA CU PROGRAM NORMAL SÂNCRAIU",155,ILIENI,64425,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:23:31",470,453,5,2,10,325,312,1,2,10,314,11,500,175,11,14,11,8,227,4,30,9
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ÁRVÁCSKA”",24,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:41:06",817,811,0,3,3,280,274,0,3,3,269,11,900,620,23,11,6,19,198,1,8,3
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ÁRVÁCSKA”",23,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:54",1237,1223,1,5,8,452,439,0,5,8,432,20,1400,948,34,24,14,21,312,2,12,13
15,COVASNA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”ÁRVÁCSKA”",25,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:22:44",1151,1136,1,9,5,392,378,0,9,5,381,11,1300,908,21,10,10,19,307,0,7,7
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”BENEDEK ELEK”",39,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:07:55",902,888,1,8,5,443,430,0,8,5,434,9,1000,557,26,23,18,16,326,6,9,10
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”CIMBORA”",69,"ORAŞ BARAOLT",63447,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:44:52",1135,1128,2,4,1,575,570,0,4,1,535,40,1224,648,23,9,7,3,387,0,25,81
15,COVASNA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ” CSIPKERÓZSIKA”",57,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:41:54",1325,1316,0,8,1,518,509,0,8,1,508,3,1500,989,21,10,6,7,388,0,61,15
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",13,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:29:39",856,839,6,5,6,378,361,6,5,6,368,10,900,522,11,6,8,8,315,2,10,8
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",12,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:18:54",943,926,6,2,9,426,415,0,2,9,416,10,1000,574,5,4,9,4,361,2,10,21
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",10,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:16:39",1614,1589,8,8,9,794,778,0,8,8,790,4,1700,906,27,24,25,16,621,2,39,36
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",11,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:47",1436,1414,4,9,9,654,637,0,9,8,634,12,1599,945,22,9,20,8,538,2,13,22
15,COVASNA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”GULLIVER”",14,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:53:39",959,941,3,13,2,408,393,0,13,2,398,10,1000,592,27,11,15,15,298,2,17,13
15,COVASNA,"GRADINIŢA CU PROGRAM PRELUNGIT ”HÓFEHÉRKE”",18,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:43:28",659,629,0,9,21,369,339,0,9,21,363,6,700,331,8,6,9,4,324,1,5,6
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”MANÓCSKA” TÂRGU SECUIESC",59,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:49:50",1238,1228,0,10,0,499,489,0,10,0,474,25,1400,901,16,12,7,2,369,2,60,6
