precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TRIP DOREL-ALIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","DRĂGHICI DĂNUŢ-IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL NIȚCHIDORF",490,NIŢCHIDORF,157923,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:29",1143,1102,2,19,20,627,588,0,19,20,614,13,1191,564,119,495
37,TIMIŞ,"CASA NAŢIONALĂ BLAJOVA",491,NIŢCHIDORF,157923,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:12:42",105,83,0,11,11,83,61,0,11,11,81,2,100,17,8,73
37,TIMIŞ,"CLADIREA COMUNEI NITCHIDORF(FOSTA SCOALA CU CLASELE I - IV)",492,NIŢCHIDORF,157923,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:49:08",176,160,0,14,2,120,104,0,14,2,116,4,200,80,20,96
