precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GHERGHE MIREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞERBAN MARIUS-COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi","GROSU DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","MORARU IONEL-PARTIDUL MIȘCAREA POPULARĂ-voturi"
36,TELEORMAN,"CĂMINUL CULTURAL",242,PLOSCA,153605,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:38:19",1207,1185,1,12,9,864,843,0,12,9,839,1,1310,26,28,463,333,15
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ PLOSCA",244,PLOSCA,153605,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:19:59",756,744,0,7,5,467,455,0,7,5,450,17,821,354,31,181,232,6
36,TELEORMAN,"ŞCOALA MICĂ",245,PLOSCA,153605,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:02:15",1154,1141,0,6,7,762,749,0,6,7,747,15,1255,493,36,300,367,44
36,TELEORMAN,"ŞCOALA RĂSFIRAŢI",243,PLOSCA,153605,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:56:28",1333,1316,0,4,13,919,902,0,4,13,902,17,1470,534,59,262,569,12
