precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROŞU IULIAN-ALIN-voturi"
30,OLT,"ŞCOALA GIMNAZIALĂ OBOGA",262,OBOGA,127812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:22",1039,972,0,22,45,657,590,0,22,45,638,19,1062,405,555,26,23,34
30,OLT,"ŞCOALA OBOGA DE JOS",263,OBOGA,127812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:03:19",434,401,0,23,10,266,233,0,23,10,256,10,439,173,183,6,3,64
