precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PASCARU IOAN-VIRGIL-PARTIDUL NAȚIONAL LIBERAL-voturi","MARIUŢEAC GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","CĂRARE VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL MILIŞĂUŢI",174,"ORAŞ MILIŞĂUŢI",146931,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:20:47",1679,1670,1,5,3,888,880,0,5,3,865,23,1840,952,58,296,511
35,SUCEAVA,"GRĂDINIȚA CU PROGRAM NORMAL BĂDEUȚI",175,"ORAŞ MILIŞĂUŢI",146931,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:32:08",1269,1262,0,4,3,614,607,0,4,3,591,23,1400,786,38,264,289
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ MILIȘĂUȚI",173,"ORAŞ MILIŞĂUŢI",146931,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:26:05",1456,1447,1,3,5,736,728,0,3,5,722,14,1600,864,46,328,348
