precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL VERDE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","STAN DUMITRU-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",352,"OCNA ŞUGATAG",108400,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:04:42",245,239,0,5,1,168,162,0,5,1,155,7,264,102,6,23,9,30,1,7,1,4,2,0,72,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",351,"OCNA ŞUGATAG",108400,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:11",861,837,3,11,10,527,505,1,11,10,504,23,932,405,30,20,12,260,7,8,44,6,8,5,103,1
26,MARAMUREŞ,"SALA DE FESTIVITĂȚI",350,"OCNA ŞUGATAG",108400,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:50:35",1451,1429,5,13,4,748,729,2,13,4,724,24,1600,852,45,36,172,185,38,72,3,33,82,23,10,25
26,MARAMUREŞ,"ŞCOALA GENERALĂ",353,"OCNA ŞUGATAG",108400,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:59",962,946,0,6,10,598,582,0,6,10,578,20,1060,462,188,134,19,192,3,7,2,15,5,8,3,2
