precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALBERT NICOLAE-MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi","RĂCĂŞAN DANIEL-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
33,SĂLAJ,"DISPENSAR UMAN",150,"FILDU DE JOS",141081,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:53",332,309,0,15,8,233,210,0,15,8,206,27,346,113,115,91
33,SĂLAJ,"SCOALA PRIMARA CU CLASELE I-IV",151,"FILDU DE JOS",141081,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:26:37",300,266,0,25,9,258,224,0,25,9,251,7,330,72,180,71
33,SĂLAJ,"ŞCOALA PRIMARĂ FILDU DE JOS",149,"FILDU DE JOS",141081,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:07:45",198,177,1,19,1,158,138,0,19,1,151,7,200,42,57,94
33,SĂLAJ,"ŞCOALA PRIMARĂ TETIŞU",152,"FILDU DE JOS",141081,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:32:46",223,202,0,12,9,171,150,0,12,9,164,7,230,59,106,58
