precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TRAŞCĂ MARINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","PREDOANĂ ADRIAN-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"CĂMINUL CULTURAL CURTIŞOARA",181,DOBREŢU,126674,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:41:10",662,569,0,69,24,491,398,0,69,24,481,10,664,173,225,256
30,OLT,"CĂMINUL CULTURAL HOREZU",182,DOBREŢU,126674,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:24",395,342,0,40,13,317,264,0,40,13,313,4,392,75,203,110
