precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SUCIU SORIN-AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","MIRCA GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi"
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT CINCU",326,CINCU,40820,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:25:55",1314,1267,7,20,20,803,762,1,20,20,773,30,1404,601,287,486
8,BRAŞOV,"ȘCOALA GENERALĂ TOARCLA",327,CINCU,40820,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:26:54",281,266,0,9,6,180,166,0,9,5,171,9,310,130,50,121
