precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂDICA LAURENŢIU-ION-PARTIDUL SOCIAL DEMOCRAT-voturi","NEDELCU CECILIA-PARTIDUL NAȚIONAL LIBERAL-voturi","GOGESCU ION-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUCUR MARIAN-CĂTĂLIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ŞOGODEL GHEORGHE-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi"
31,PRAHOVA,"CĂMIN CULTURAL",566,ŞOIMARI,135501,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:03:50",398,397,1,0,0,228,227,1,0,0,221,7,400,172,93,31,37,5,55
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL",565,ŞOIMARI,135501,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:32:26",564,559,1,2,2,386,381,1,2,2,374,12,600,214,114,62,33,11,154
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”MINERVA ALEXANDRESCU”",564,ŞOIMARI,135501,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:35:09",1348,1325,0,10,13,793,770,0,10,13,780,13,1517,724,360,38,110,77,195
