precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MARINESCU ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","GAVRILĂ ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIRIAC JEAN-MARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TĂTARU IULIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BURSUC DAN-PARTIDUL PATRIOȚILOR-voturi"
41,VRANCEA,"CAMINUL CULTURAL",117,BORDEŞTI,175439,1,PART,PRCNCT,P,P_SV,"2024-06-17 20:30:47",972,929,0,12,31,582,539,0,12,31,557,25,1049,467,203,233,7,108,6
41,VRANCEA,"SCOALA CU CLASELE I-IV",118,BORDEŞTI,175439,2,PART,PRCNCT,P,P_SV,"2024-06-17 21:43:22",412,393,0,8,11,255,236,0,8,11,246,9,445,190,90,67,25,51,13
