precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NIŢĂ MARIN-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞTEFAN MARIUS-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MIHAI GEORGE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHIŢĂ ELENA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","STAN NICU-ALIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
3,ARGEŞ,"CĂMIN CULTURAL MIROŞI",394,MIROŞI,17398,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:02:58",1126,1111,0,2,13,679,664,0,2,13,650,29,1172,493,448,28,61,19,94
3,ARGEŞ,"ŞCOALA SURDULEŞTI",395,MIROŞI,17398,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:22",669,653,0,3,13,378,362,0,3,13,369,9,796,418,265,61,23,0,20
