precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA REPER SENS URS.PDF PENTRU SECTORUL 3-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",391,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 11:08:33",1169,1152,13,3,1,519,515,0,3,1,502,17,1269,750,205,51,43,19,11,173
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",392,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 10:14:49",1605,1570,18,17,0,633,616,0,17,0,601,32,1741,1108,231,54,42,13,28,233
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",390,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 09:27:11",1343,1324,14,5,0,584,579,0,5,0,577,7,1454,863,223,63,44,18,17,212
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",388,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:12:31",1436,1402,30,4,0,590,585,1,4,0,568,22,1549,959,218,80,32,30,32,176
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",393,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:17:14",1166,1129,22,15,0,427,412,0,15,0,403,24,1252,825,156,52,40,15,11,129
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",389,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 09:57:05",1047,1033,3,11,0,483,472,0,11,0,471,12,1135,652,178,66,28,16,19,164
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",387,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:13:49",1396,1324,54,18,0,629,609,2,18,0,613,16,1460,831,255,64,40,22,22,210
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",372,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 17:35:11",1198,1172,19,7,0,329,322,0,7,0,308,17,1296,971,117,25,30,21,19,96
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",370,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:23:14",727,680,41,5,1,175,168,1,5,1,158,10,751,583,56,22,14,13,10,43
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",371,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:18:20",844,709,118,1,16,262,245,0,1,16,256,6,783,520,117,35,9,18,13,64
