precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA ELECTORALĂ PSD-PUSL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
31,PRAHOVA,"CASA DE CULTURA LILIESTI",193,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:34:56",1389,1352,7,7,23,743,713,0,7,23,711,32,1493,750,188,88,22,31,41,289,52
31,PRAHOVA,"CASA DE CULTURA TINTEA",196,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:24:16",988,982,1,4,1,570,565,0,4,1,549,21,1100,530,126,52,12,39,37,256,27
31,PRAHOVA,"CLUBUL ELEVILOR",186,"ORAŞ BĂICOI",130981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:59:31",1402,1392,2,8,0,775,766,1,8,0,732,43,1531,756,127,84,28,32,44,373,44
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL TUFENI",185,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:00:46",1195,1189,1,4,1,622,617,0,4,1,581,41,1307,685,108,57,20,17,29,328,22
31,PRAHOVA,"GRĂDINIŢA DÂMBU",194,"ORAŞ BĂICOI",130981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:38:24",1075,1070,0,5,0,589,584,0,5,0,561,28,1178,589,114,61,26,17,21,287,35
31,PRAHOVA,"GRADINITA LILIESTI",189,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:35:59",995,989,1,5,0,508,503,0,5,0,478,30,1087,579,92,47,32,19,29,234,25
31,PRAHOVA,"GRADINITA LILIESTI",190,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:22:03",1017,1003,0,13,1,576,562,0,13,1,540,31,1105,534,135,56,17,18,48,239,27
31,PRAHOVA,"GR. SC. C-TIN CANTACUZINO",188,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:18:25",1078,1070,0,6,2,553,545,0,6,2,521,24,1178,633,97,50,37,14,44,254,25
31,PRAHOVA,"GR. SC. C-TIN CANTACUZINO",187,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:43:00",1147,1141,1,4,1,586,580,1,4,1,548,32,1256,676,113,57,28,27,29,270,24
31,PRAHOVA,"SALA DE SPORT TINERETULUI",184,"ORAŞ BĂICOI",130981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:47:39",1042,1033,0,6,3,579,570,0,6,3,556,23,1140,561,126,40,62,10,55,240,23
31,PRAHOVA,"SCOALA GENERALA TINTEA",195,"ORAŞ BĂICOI",130981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:53:56",1267,1260,2,5,0,677,672,0,5,0,639,38,1386,709,117,63,25,31,41,329,33
31,PRAHOVA,"SCOALA NUMARUL 3 LILIESTI",191,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:17:11",1367,1365,0,2,0,659,657,0,2,0,623,36,1511,852,101,66,32,27,33,314,50
31,PRAHOVA,"SCOALA NUMARUL 3 LILIESTI SALA NR. 2",192,"ORAŞ BĂICOI",130981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:36:25",1540,1534,1,5,0,845,839,1,5,0,812,33,1688,843,197,75,36,51,48,356,49
