precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COZMA CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","CONSTANTINESCU-OTCU MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL SADOVA",452,SADOVA,150178,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:01",1171,1162,1,5,3,766,758,0,5,3,744,22,1300,534,65,679
35,SUCEAVA,"ŞCOALA GENERALĂ FUNDU SADOVEI",453,SADOVA,150178,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:21",938,926,0,7,5,649,637,0,7,5,619,30,1008,359,85,534
