precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ILADE VASILE-voturi"
29,NEAMŢ,GRADINITA,301,GRUMĂZEŞTI,122908,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:01",946,937,1,1,7,529,520,1,1,7,507,22,1000,471,39,137,303,4,10,14
29,NEAMŢ,GRADINITA,300,GRUMĂZEŞTI,122908,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:50",1316,1303,0,4,9,759,746,0,4,9,719,40,1400,641,61,220,401,19,11,7
29,NEAMŢ,SCOALA,303,GRUMĂZEŞTI,122908,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:17:25",1318,1304,0,4,10,748,734,0,4,10,719,29,1500,752,100,117,475,23,0,4
29,NEAMŢ,"SCOALA PRIMARA",302,GRUMĂZEŞTI,122908,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:39",603,595,0,7,1,268,260,0,7,1,254,14,700,432,11,75,131,33,4,0
