precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PLEINER NORBERT-JÁCINT-PARTIDUL SOCIAL DEMOCRAT-voturi","FEISAN IOAN-MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi"
34,SIBIU,"GRĂDINIŢA CU ORAR NORMAL TÎRNAVA",373,TÂRNAVA,143646,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:05:30",1224,1191,1,16,16,707,676,0,16,15,688,19,1300,575,314,374
34,SIBIU,"GRĂDINIŢA CU ORAR NORMAL TÎRNAVA",372,TÂRNAVA,143646,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:49:34",1310,1299,0,1,10,706,695,0,1,10,676,30,1440,684,279,397
